te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-08,16:45:00,15436.0,15430.0,15438.0,15424.0,363.0,0
2021-01-08,17:00:00,15429.0,15413.0,15429.0,15407.0,1039.0,1
2021-01-08,17:15:00,15414.0,15406.0,15426.0,15406.0,697.0,0
2021-01-08,17:30:00,15407.0,15416.0,15418.0,15403.0,647.0,0
2021-01-08,17:45:00,15415.0,15428.0,15428.0,15415.0,517.0,0
2021-01-08,18:00:00,15428.0,15432.0,15434.0,15425.0,542.0,0
2021-01-08,18:15:00,15432.0,15436.0,15441.0,15432.0,475.0,0
2021-01-08,18:30:00,15436.0,15433.0,15442.0,15431.0,383.0,0
2021-01-08,18:45:00,15432.0,15432.0,15441.0,15432.0,257.0,0
2021-01-08,19:00:00,15432.0,15439.0,15440.0,15431.0,196.0,0
2021-01-08,19:15:00,15440.0,15447.0,15449.0,15437.0,412.0,0
2021-01-08,19:30:00,15448.0,15446.0,15449.0,15442.0,425.0,0
2021-01-08,19:45:00,15447.0,15436.0,15447.0,15433.0,356.0,0
2021-01-08,20:00:00,15435.0,15441.0,15442.0,15434.0,189.0,0
2021-01-08,20:15:00,15441.0,15438.0,15443.0,15438.0,133.0,0
2021-01-08,20:30:00,15438.0,15435.0,15439.0,15434.0,116.0,0
2021-01-08,20:45:00,15434.0,15433.0,15435.0,15425.0,400.0,0
2021-01-08,21:00:00,15433.0,15439.0,15439.0,15433.0,205.0,0
2021-01-08,21:15:00,15439.0,15438.0,15443.0,15438.0,286.0,0
2021-01-08,21:30:00,15437.0,15453.0,15453.0,15428.0,937.0,0
2021-01-08,21:45:00,15453.0,15444.0,15455.0,15439.0,715.0,0
2021-01-08,22:00:00,15444.0,15449.0,15452.0,15443.0,464.0,0
2021-01-08,22:15:00,15450.0,15487.0,15492.0,15450.0,2449.0,0
2021-01-08,22:30:00,15487.0,15508.0,15526.0,15485.0,5396.0,0
2021-01-08,22:45:00,15509.0,15490.0,15511.0,15477.0,3020.0,0
2021-01-08,23:00:00,15491.0,15491.0,15505.0,15485.0,1669.0,0
2021-01-08,23:15:00,15491.0,15423.0,15496.0,15413.0,4446.0,0
2021-01-08,23:30:00,15422.0,15446.0,15449.0,15385.0,5060.0,1
2021-01-08,23:45:00,15445.0,15446.0,15458.0,15436.0,1705.0,0
2021-01-09,00:00:00,15446.0,15437.0,15465.0,15422.0,2418.0,0
2021-01-09,00:15:00,15438.0,15444.0,15448.0,15423.0,1085.0,0
2021-01-09,00:30:00,15444.0,15435.0,15445.0,15425.0,572.0,0
